RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Housing Type,Date,ZHVI
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-07-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-08-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-09-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-10-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-11-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,1999-12-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-01-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-02-29 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-03-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-04-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-05-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-06-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-07-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-08-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-09-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-10-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-11-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2000-12-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-01-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-02-28 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-03-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-04-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-05-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-06-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-07-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-08-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-09-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-10-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-11-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2001-12-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-01-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-02-28 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-03-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-04-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-05-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-06-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-07-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-08-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-09-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-10-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-11-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2002-12-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-01-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-02-28 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-03-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-04-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-05-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-06-30 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-07-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-08-31 00:00:00,0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-09-30 00:00:00,1375198.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-10-31 00:00:00,1382971.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-11-30 00:00:00,1382061.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2003-12-31 00:00:00,1387649.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-01-31 00:00:00,1390062.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-02-29 00:00:00,1396377.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-03-31 00:00:00,1408418.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-04-30 00:00:00,1431780.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-05-31 00:00:00,1457313.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-06-30 00:00:00,1479922.0
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,SingleFamilyResidence,2004-07-31 00:00:00,1497023.0
