Housing Type,% Per Year Min,% Per Year Max,% Per Year Avg,Years Diff Min,Years Diff Max,Years Diff Avg
Condo,-0.2837598081450121,6.932940560878986,3.9122641435214995,5.1,25.1,22.268
SingleFamilyResidence,-1.2093509132201974,10.270304369817683,3.6378771033709443,11.7,25.1,22.898000000000007
